Wrist_x,Wrist_y,Wrist_z,Palm_x,Palm_y,Palm_z,thumb_base_x,thumb_base_y,thumb_base_z,thumb_first_joint_x,thumb_first_joint_y,thumb_first_joint_z,thumb_second_joint_x,thumb_second_joint_y,thumb_second_joint_z,thumb_tip_x,thumb_tip_y,thumb_tip_z,index_base_x,index_base_y,index_base_z,index_first_joint_x,index_first_joint_y,index_first_joint_z,index_second_joint_x,index_second_joint_y,index_second_joint_z,index_tip_x,index_tip_y,index_tip_z,middle_base_x,middle_base_y,middle_base_z,middle_first_joint_x,middle_first_joint_y,middle_first_joint_z,middle_second_joint_x,middle_second_joint_y,middle_second_joint_z,middle_tip_x,middle_tip_y,middle_tip_z,ring_base_x,ring_base_y,ring_base_z,ring_first_joint_x,ring_first_joint_y,ring_first_joint_z,ring_second_joint_x,ring_second_joint_y,ring_second_joint_z,ring_tip_x,ring_tip_y,ring_tip_z,pinky_base_x,pinky_base_y,pinky_base_z,pinky_first_joint_x,pinky_first_joint_y,pinky_first_joint_z,pinky_second_joint_x,pinky_second_joint_y,pinky_second_joint_z,pinky_tip_x,pinky_tip_y,pinky_tip_z
0.49394463,-0.41033334,0.591467,0.47372743,-0.3552587,0.570723,0.45985433,-0.38956853,0.577474,0.45043062,-0.36227475,0.557666,0.41712799,-0.32991491,0.531712,0.39860746,-0.30555942,0.524381,0.41035929,-0.29042017,0.536963,0.4027269,-0.24935342,0.52944,0.40052435,-0.23806958,0.525679,0.40986649,-0.23107135,0.538157,0.4390764,-0.29201162,0.545336,0.41528178,-0.2480579,0.517454,0.4068408,-0.25709095,0.50119,0.41344851,-0.27792478,0.506161,0.46622703,-0.29527354,0.553382,0.44782611,-0.26412616,0.524163,0.43561703,-0.27609365,0.509213,0.4367598,-0.29301864,0.51414,0.50123554,-0.30588648,0.565548,0.48006516,-0.29515025,0.539733,0.47060483,-0.30540101,0.527872,0.47029391,-0.31671041,0.530963
0.4958093,-0.40754861,0.589045,0.47648316,-0.34627103,0.567498,0.4663308,-0.38681324,0.575547,0.45135819,-0.35538216,0.556201,0.41563967,-0.32763603,0.530323,0.39635021,-0.30455136,0.522425,0.41310993,-0.28328706,0.533665,0.40426016,-0.24270578,0.526796,0.40089883,-0.2251197,0.523361,0.4104664,-0.21688305,0.536203,0.4411747,-0.2832093,0.541129,0.41572049,-0.23996887,0.512569,0.40404596,-0.2509869,0.495909,0.41040961,-0.2716279,0.500774,0.46630708,-0.28591178,0.548475,0.4477514,-0.25029747,0.518919,0.43696884,-0.26230985,0.503798,0.43977515,-0.28202637,0.508708,0.50079009,-0.29518561,0.559886,0.47663951,-0.28951799,0.533716,0.46683824,-0.29953004,0.521692,0.46891347,-0.31108989,0.524745
0.49734832,-0.40703537,0.589541,0.47662337,-0.34637293,0.567665,0.46753506,-0.38618768,0.576017,0.45172255,-0.35566905,0.55665,0.41585578,-0.32725502,0.530853,0.39680341,-0.3051572,0.522933,0.41300311,-0.28321381,0.533527,0.4042026,-0.24267123,0.526721,0.40086589,-0.22510121,0.523318,0.41046104,-0.21688022,0.536196,0.44098066,-0.28308474,0.540891,0.41529468,-0.23972309,0.512044,0.40442816,-0.25043803,0.495217,0.41044873,-0.27081781,0.499954,0.46605032,-0.28575435,0.548173,0.44728891,-0.25003893,0.518383,0.43639899,-0.26196777,0.503141,0.43909912,-0.28159283,0.507926,0.50048597,-0.29500636,0.559546,0.4767993,-0.28861421,0.533173,0.46682105,-0.29856085,0.521056,0.46877659,-0.31008784,0.524011
0.49681123,-0.40408842,0.586319,0.47463623,-0.34363982,0.564797,0.46492254,-0.38262416,0.572157,0.43356359,-0.34777579,0.547545,0.4004379,-0.320276,0.522114,0.37962025,-0.29764382,0.507484,0.41422358,-0.27510406,0.530194,0.40506585,-0.23463574,0.523086,0.40235428,-0.21741091,0.519532,0.41225031,-0.20750472,0.532259,0.44288206,-0.27674975,0.538458,0.4188538,-0.23544688,0.509891,0.41336332,-0.24618039,0.493227,0.42064691,-0.26495105,0.497873,0.46583596,-0.28356018,0.546459,0.45205209,-0.24728512,0.516636,0.44158722,-0.25938144,0.501377,0.43947,-0.279949,0.505968,0.50075845,-0.29376656,0.558661,0.48368174,-0.27697948,0.532336,0.47456532,-0.28571722,0.520241,0.47676208,-0.29937061,0.523073
0.49691606,-0.40305966,0.585754,0.47461422,-0.34297646,0.564519,0.46509535,-0.38170845,0.571887,0.43201318,-0.34653216,0.545587,0.39910493,-0.31920987,0.520376,0.3787413,-0.29695467,0.506309,0.41446578,-0.27526491,0.530504,0.40508521,-0.23464696,0.523111,0.40226289,-0.21736153,0.519414,0.4121806,-0.20746964,0.532169,0.44294292,-0.27678778,0.538532,0.41912899,-0.23560157,0.510226,0.41377147,-0.24642346,0.493714,0.42123073,-0.26531878,0.498564,0.46634118,-0.28283954,0.546323,0.45221309,-0.24737319,0.51682,0.4418946,-0.25956199,0.501726,0.44101639,-0.27999649,0.506559,0.50090943,-0.29315771,0.558237,0.4835191,-0.27688634,0.532157,0.47450511,-0.28568098,0.520175,0.47686416,-0.29943471,0.523185
0.49779929,-0.40125333,0.584862,0.47411768,-0.34212565,0.563748,0.46475362,-0.38055669,0.571087,0.4325069,-0.34593745,0.544889,0.40043528,-0.31857296,0.519635,0.3803955,-0.29613122,0.505355,0.4139236,-0.27478971,0.529942,0.40468317,-0.23437368,0.52278,0.4002604,-0.22002029,0.519199,0.41015756,-0.21143152,0.532049,0.44239759,-0.27627239,0.537908,0.41645743,-0.23695207,0.509711,0.41304255,-0.24700978,0.493262,0.41735239,-0.2667122,0.498186,0.46766791,-0.28033704,0.545642,0.4489656,-0.24778682,0.516261,0.43845895,-0.25992739,0.501228,0.44103313,-0.27956235,0.506147,0.50064402,-0.29240414,0.557472,0.48029266,-0.28129696,0.531488,0.47158128,-0.29144063,0.519549,0.47324843,-0.30319469,0.522623
0.49824002,-0.39908745,0.583446,0.47322585,-0.34115452,0.56254,0.46368823,-0.37899579,0.569461,0.4316249,-0.34433657,0.543048,0.40272798,-0.31548147,0.517434,0.3835457,-0.29248563,0.502897,0.41288198,-0.27403011,0.528654,0.40203178,-0.23295361,0.519195,0.39848074,-0.21724436,0.514465,0.40795556,-0.20735446,0.526529,0.44162391,-0.27568313,0.536953,0.41611051,-0.23654508,0.508929,0.41232996,-0.24707098,0.492582,0.41720777,-0.26644321,0.497501,0.46713578,-0.27987811,0.544949,0.45046216,-0.24575618,0.515621,0.44016203,-0.25784412,0.500615,0.44078587,-0.27852356,0.505494,0.50059874,-0.29196008,0.557071,0.48017997,-0.28118804,0.53116,0.47142242,-0.2913008,0.519255,0.47318485,-0.30310468,0.522307
0.49799873,-0.39745995,0.582106,0.47242188,-0.34026529,0.561349,0.46348558,-0.37730013,0.568164,0.43108744,-0.3432312,0.541801,0.4021831,-0.31420873,0.516351,0.38325021,-0.29121036,0.502011,0.41232541,-0.27334401,0.52764,0.40136943,-0.23229944,0.517788,0.39803207,-0.21645834,0.512862,0.40714394,-0.20689066,0.524799,0.44108384,-0.27505652,0.535948,0.41739019,-0.23532381,0.508057,0.41187499,-0.24686381,0.491787,0.41708369,-0.26610221,0.496773,0.46660168,-0.27929543,0.543941,0.44987537,-0.24478415,0.514735,0.43959848,-0.25678545,0.499792,0.44053914,-0.277636,0.504741,0.50011253,-0.29129943,0.556044,0.48112292,-0.27900946,0.530235,0.47109311,-0.29077142,0.518376,0.47277849,-0.30288405,0.521482
0.49819669,-0.39614691,0.581412,0.47222157,-0.33849269,0.560243,0.46340931,-0.37563769,0.567161,0.4316872,-0.34123897,0.540461,0.40119328,-0.31159084,0.515339,0.38245187,-0.28950091,0.500985,0.41118234,-0.27203252,0.525826,0.40177471,-0.23179786,0.516471,0.39743664,-0.2149319,0.511794,0.40595501,-0.20271107,0.523856,0.44009275,-0.27390435,0.534337,0.4160304,-0.23403792,0.506076,0.4102658,-0.24544476,0.48959,0.41753263,-0.2640387,0.494324,0.46577081,-0.27828509,0.542521,0.44862381,-0.2439928,0.512902,0.43804501,-0.25597177,0.497749,0.43886332,-0.27637066,0.502406,0.50064524,-0.28974275,0.554902,0.48102344,-0.27471188,0.528769,0.47176365,-0.28351724,0.516762,0.4731583,-0.29982752,0.519651
0.49731266,-0.39360269,0.57931,0.47040894,-0.33643049,0.557406,0.46285783,-0.37185238,0.564859,0.43081731,-0.33854904,0.537926,0.40013234,-0.30949485,0.513088,0.3820751,-0.2864433,0.499048,0.4103312,-0.26825608,0.522145,0.4032356,-0.22984552,0.514739,0.39931197,-0.21047537,0.511037,0.3957242,-0.1925122,0.507671,0.43814089,-0.27104653,0.5306,0.4152781,-0.23152689,0.501692,0.40968602,-0.24441933,0.484829,0.4140234,-0.26148949,0.489237,0.46383898,-0.27549827,0.53878,0.445887,-0.24115705,0.508577,0.435349,-0.2535554,0.493124,0.43668146,-0.27288638,0.497439,0.49882421,-0.28708789,0.551243,0.48030115,-0.27111582,0.524621,0.47043187,-0.28000782,0.512389,0.47092934,-0.29416053,0.515016
0.49682731,-0.39096936,0.577751,0.47046507,-0.33121498,0.554223,0.46068239,-0.36910541,0.561725,0.43037838,-0.33331922,0.533143,0.39792742,-0.30476459,0.50777,0.37820789,-0.28451439,0.494642,0.40727082,-0.26090458,0.515749,0.40146013,-0.22399341,0.508172,0.39855765,-0.20490848,0.504383,0.39592156,-0.18716541,0.500939,0.43705643,-0.26347635,0.52543,0.41909163,-0.23151028,0.495101,0.41203912,-0.24587289,0.477409,0.41364711,-0.25981427,0.480605,0.46358492,-0.2685014,0.534709,0.4451027,-0.23885312,0.502782,0.43464131,-0.25081577,0.486447,0.43030026,-0.26852759,0.489332,0.49937939,-0.27798438,0.548691,0.47761332,-0.26921607,0.520759,0.46751695,-0.27756604,0.507925,0.46695133,-0.29096534,0.509503
0.49592289,-0.38828872,0.575807,0.47075992,-0.32305383,0.551116,0.45963236,-0.36556662,0.559263,0.42982969,-0.32892937,0.530145,0.39639467,-0.30220319,0.5045,0.37650426,-0.28108166,0.491213,0.40528417,-0.25463546,0.511066,0.39970408,-0.21689643,0.503259,0.39678661,-0.1942376,0.499356,0.39463878,-0.1796296,0.495808,0.43498056,-0.25672606,0.520898,0.41741444,-0.22844257,0.489573,0.40905681,-0.24276508,0.4713,0.40967802,-0.25671966,0.473843,0.46144615,-0.26135378,0.530367,0.44692663,-0.2361713,0.497464,0.43351027,-0.24872504,0.48063,0.42875368,-0.26545649,0.482798,0.4994523,-0.27049516,0.544714,0.47618606,-0.2669069,0.515996,0.46586717,-0.27481381,0.502801,0.4647969,-0.28762345,0.503841
0.4921307,-0.38312004,0.570208,0.46688329,-0.31833468,0.545292,0.45839501,-0.357285,0.553354,0.42675188,-0.32197292,0.523927,0.39397374,-0.29545751,0.498159,0.37183721,-0.27489186,0.483652,0.40198418,-0.24890662,0.504686,0.39672153,-0.21065648,0.497922,0.39421372,-0.19108575,0.49454,0.39193743,-0.17291661,0.491465,0.43180652,-0.25061722,0.514799,0.41509689,-0.22261868,0.48329,0.40615969,-0.2371537,0.46491,0.40509968,-0.25240867,0.467221,0.45840834,-0.25490966,0.524511,0.44481937,-0.23080502,0.491346,0.43097721,-0.24345527,0.474378,0.42559622,-0.26090848,0.476267,0.49477783,-0.26635125,0.53918,0.47471103,-0.26252139,0.510274,0.46436832,-0.26996253,0.496993,0.46289687,-0.28347922,0.497832
0.48642424,-0.37109029,0.560158,0.46087143,-0.30711648,0.535014,0.45133755,-0.34459294,0.542357,0.41550275,-0.31267756,0.512032,0.38035242,-0.28880312,0.484664,0.36007758,-0.26804973,0.467637,0.40030615,-0.23325799,0.493094,0.39123388,-0.19485977,0.483161,0.38674676,-0.17515173,0.478194,0.38265821,-0.15686594,0.473679,0.43093716,-0.23767387,0.504242,0.41981734,-0.21353831,0.472588,0.40618733,-0.22907664,0.454124,0.40157715,-0.24418057,0.455858,0.45791799,-0.24427739,0.514817,0.4436425,-0.21668858,0.481184,0.43204954,-0.22944335,0.463976,0.42824838,-0.24236785,0.465132,0.49067862,-0.2596927,0.530556,0.47311146,-0.25906326,0.501374,0.459096,-0.26416631,0.487966,0.45641612,-0.27815442,0.488283
0.48414525,-0.36534259,0.556133,0.45848322,-0.30337051,0.530927,0.44849383,-0.34054731,0.538345,0.41172185,-0.30875901,0.508032,0.37900243,-0.28560852,0.480409,0.35880467,-0.26477203,0.463207,0.39839504,-0.23020284,0.488973,0.38965898,-0.19180196,0.479032,0.38534867,-0.17208533,0.474061,0.38142462,-0.15378684,0.469542,0.42887386,-0.23460298,0.50008,0.41828173,-0.2104659,0.468373,0.40457215,-0.22598134,0.449877,0.40009492,-0.24136705,0.451596,0.45570765,-0.24119034,0.510625,0.44194887,-0.21362052,0.476955,0.43028872,-0.22635549,0.459729,0.42622575,-0.23926073,0.460873,0.49171959,-0.25555371,0.526336,0.47113193,-0.25589986,0.497119,0.45960038,-0.26238125,0.483695,0.45528571,-0.27496292,0.484003
0.47485793,-0.35944489,0.545536,0.45476432,-0.29703158,0.52263,0.44086679,-0.3301715,0.526634,0.41908419,-0.30223258,0.495459,0.38386335,-0.27304784,0.468051,0.36133782,-0.25007305,0.453258,0.39405904,-0.22618241,0.481253,0.38605878,-0.18816693,0.470648,0.38210772,-0.16858503,0.465346,0.37852469,-0.15039458,0.460526,0.42612764,-0.2315836,0.494598,0.41876209,-0.20723741,0.465057,0.40688155,-0.22330571,0.447824,0.40286566,-0.2395538,0.449574,0.45427689,-0.23894318,0.506856,0.44118737,-0.21178578,0.474484,0.4325055,-0.22381587,0.457922,0.42606069,-0.2379683,0.458846,0.49063915,-0.25466468,0.524366,0.47900857,-0.24957167,0.496468,0.46939102,-0.25826073,0.48365,0.46640635,-0.26189057,0.483871
0.47160579,-0.35437442,0.540086,0.4513299,-0.29530737,0.517317,0.43723388,-0.3273673,0.521218,0.41549442,-0.30134946,0.490079,0.38145833,-0.27553863,0.461938,0.35884286,-0.2501801,0.447689,0.3920265,-0.22554047,0.476092,0.3845332,-0.1875099,0.465389,0.3808117,-0.16787658,0.460038,0.37560488,-0.14892683,0.455173,0.42395979,-0.23099132,0.489452,0.41076887,-0.1926834,0.460029,0.40599727,-0.2051009,0.442866,0.40678069,-0.22137055,0.444677,0.45196454,-0.23839551,0.501714,0.44184736,-0.20999773,0.469448,0.43146946,-0.22285388,0.452939,0.42496403,-0.23613037,0.453929,0.48835918,-0.25278361,0.519214,0.47607811,-0.24911969,0.491404,0.46615117,-0.25760949,0.478627,0.46306115,-0.26087019,0.478897
0.46254845,-0.34281009,0.526834,0.44266137,-0.28889744,0.503687,0.42872922,-0.31901723,0.508256,0.40795726,-0.29547453,0.477333,0.37237463,-0.26777163,0.448973,0.35118019,-0.24618001,0.435015,0.38396874,-0.21705157,0.462493,0.37669254,-0.17801991,0.45199,0.37308006,-0.15790921,0.446739,0.36870473,-0.14224813,0.441965,0.41551255,-0.22212906,0.475359,0.40053864,-0.18338282,0.445551,0.39555238,-0.1961673,0.428163,0.39481999,-0.21316067,0.430066,0.44313114,-0.229229,0.487236,0.43373727,-0.20257732,0.454768,0.42262957,-0.21580069,0.438157,0.41596942,-0.23018954,0.439302,0.47984143,-0.24412272,0.504313,0.46684792,-0.24128446,0.476279,0.45619596,-0.24951229,0.463398,0.45130048,-0.25325022,0.463766
0.46423656,-0.34190981,0.526857,0.44882219,-0.28000303,0.501219,0.43002709,-0.31742868,0.507429,0.40786182,-0.29201868,0.475675,0.37225355,-0.26579532,0.44722,0.35001613,-0.24452217,0.432388,0.38569058,-0.21006205,0.456959,0.37701157,-0.17102119,0.442309,0.37273067,-0.15098708,0.434984,0.36887669,-0.13244416,0.428325,0.41745657,-0.2141571,0.469844,0.40277158,-0.1776729,0.437954,0.39485089,-0.19130203,0.419351,0.38996271,-0.20658301,0.419876,0.44543663,-0.22044962,0.481875,0.43595215,-0.19924687,0.447466,0.41773705,-0.21210313,0.429862,0.41074294,-0.2246072,0.429524,0.48293001,-0.23438542,0.499432,0.46353443,-0.2379828,0.46982,0.4517526,-0.24621967,0.456215,0.44734203,-0.24876744,0.455467
0.46100743,-0.33683311,0.520858,0.44467533,-0.27668116,0.495157,0.42779199,-0.31317355,0.501051,0.40519189,-0.28657817,0.468991,0.36857208,-0.26267725,0.44065,0.34703061,-0.24154465,0.425014,0.38272833,-0.20750447,0.450394,0.37328451,-0.16839094,0.434057,0.36863282,-0.14833133,0.425888,0.36238344,-0.12957898,0.418462,0.41336384,-0.21131424,0.463704,0.40136924,-0.17608666,0.431826,0.39136126,-0.18936827,0.41323,0.38635426,-0.20374553,0.413449,0.44149638,-0.21754017,0.476088,0.43245521,-0.19709883,0.441556,0.41722708,-0.2102362,0.423889,0.40674734,-0.2217564,0.423174,0.47917278,-0.23135349,0.494081,0.46322476,-0.23551565,0.464423,0.45088085,-0.24417187,0.450797,0.44366684,-0.24602895,0.449782
0.45854115,-0.33120335,0.512924,0.43797717,-0.27083086,0.4847,0.42348357,-0.30693968,0.49258,0.40045576,-0.28307952,0.460047,0.36554786,-0.26015591,0.431391,0.34378202,-0.23966131,0.414259,0.37437263,-0.20120221,0.437215,0.36517745,-0.16249293,0.420577,0.36066596,-0.14260913,0.412258,0.3545045,-0.12485524,0.404695,0.40614251,-0.20459952,0.450158,0.39121202,-0.17046011,0.416206,0.3816606,-0.18435944,0.3964,0.37573721,-0.19624577,0.395294,0.43420428,-0.21032452,0.462383,0.42412236,-0.19187516,0.426044,0.40719677,-0.20452452,0.407452,0.39543763,-0.21398031,0.405352,0.47194995,-0.22358632,0.480478,0.45570295,-0.22624962,0.449328,0.43886663,-0.23403309,0.435016,0.43271925,-0.23553267,0.432951
