Wrist_x,Wrist_y,Wrist_z,Palm_x,Palm_y, Palm_z,thumb_base_x,thumb_base_y,"	thumb_base_z","	thumb_first_joint_x","	thumb_first_joint_y","	thumb_first_joint_z","	 thumb_second_joint_x","	 thumb_second_joint_y","	 thumb_second_joint_z","	thumb_tip_x","	thumb_tip_y","	thumb_tip_z","	index_base_x","	index_base_y","	index_base_z","	 index_first_joint_x","	 index_first_joint_y","	 index_first_joint_z","	 index_second_joint_x","	 index_second_joint_y","	 index_second_joint_z","	index_tip_x","	index_tip_y","	index_tip_z","	middle_base_x","	middle_base_y","	middle_base_z","	middle_first_joint_x","	middle_first_joint_y","	middle_first_joint_z","	middle_second_joint_x","	middle_second_joint_y","	middle_second_joint_z","	middle_tip_x","	middle_tip_y","	middle_tip_z","	ring_base_x","	ring_base_y","	ring_base_z","	ring_first_joint_x","	ring_first_joint_y","	ring_first_joint_z","	ring_second_joint_x","	ring_second_joint_y","	ring_second_joint_z","	ring_tip_x","	ring_tip_y","	ring_tip_z","	pinky_base_x","	pinky_base_y","	pinky_base_z","	pinky_first_joint_x","	pinky_first_joint_y","	 pinky_first_joint_z","	pinky_second_joint_x","	pinky_second_joint_y","	pinky_second_joint_z","	pinky_tip_x","	pinky_tip_y","	pinky_tip_z"
0.54571966,-0.40566058,0.57132,0.56122481,-0.37190424,0.583146,0.53692909,-0.39648216,0.580275,0.53860496,-0.37293671,0.592963,0.52395971,-0.34122942,0.586699,0.52652047,-0.32886496,0.594907,0.55584684,-0.34308942,0.601843,0.56032216,-0.30928407,0.607672,0.56254773,-0.29187011,0.610587,0.56767328,-0.26988897,0.613236,0.57064788,-0.33911105,0.595076,0.56915923,-0.30203789,0.601013,0.56825779,-0.28022675,0.604476,0.56759867,-0.26456448,0.606949,0.58515232,-0.33744284,0.588767,0.59735912,-0.30511296,0.594937,0.59437762,-0.30014905,0.598094,0.59068944,-0.31382388,0.600963,0.59802294,-0.34251085,0.579736,0.61112196,-0.31440968,0.583713,0.61396115,-0.30359847,0.58554,0.61225175,-0.2996678,0.587153
0.5793645,-0.41736597,0.565879,0.5762117,-0.38419508,0.57705,0.57773919,-0.42039835,0.581934,0.57597394,-0.41247365,0.602715,0.55746213,-0.39904606,0.607603,0.55844227,-0.39426134,0.617907,0.57245315,-0.36628713,0.603904,0.5715763,-0.33484345,0.613364,0.57108824,-0.31893698,0.618093,0.57061763,-0.30437235,0.622393,0.57316164,-0.35110346,0.588319,0.56194989,-0.318988,0.597029,0.55539784,-0.30023134,0.60211,0.55071232,-0.28682361,0.605739,0.57396089,-0.3406563,0.574797,0.57726811,-0.30461091,0.578773,0.56708077,-0.29235269,0.580806,0.55661066,-0.298033,0.582655,0.5753572,-0.33217669,0.557199,0.58053128,-0.29909056,0.556511,0.5710251,-0.29494556,0.556195,0.56173883,-0.2936206,0.555916
0.5794976,-0.41669875,0.566009,0.57604448,-0.38343981,0.577027,0.57777388,-0.41970392,0.582015,0.57412253,-0.41267823,0.601746,0.55367879,-0.3986143,0.605203,0.55348511,-0.39286666,0.615374,0.57197419,-0.36544655,0.603721,0.57244053,-0.33426786,0.613838,0.57262727,-0.3184905,0.618896,0.57277178,-0.30404127,0.623495,0.57269704,-0.3502659,0.588144,0.56120285,-0.31810476,0.596695,0.55448765,-0.29932373,0.601684,0.5496857,-0.28589925,0.605247,0.57352577,-0.33982549,0.574637,0.57748379,-0.30187556,0.5782,0.56587097,-0.2912354,0.580023,0.55526177,-0.2968789,0.58168,0.57499493,-0.33136391,0.557076,0.579916,-0.29818239,0.556238,0.57034781,-0.29405581,0.555853,0.56101577,-0.29275072,0.555513
0.57850018,-0.41613028,0.56547,0.57569555,-0.38326748,0.577077,0.57515657,-0.41788073,0.579774,0.56985002,-0.41053887,0.598056,0.5494437,-0.39668263,0.601618,0.54958469,-0.39110325,0.612474,0.57013655,-0.36420113,0.602102,0.57149884,-0.33355787,0.613067,0.57212613,-0.31801517,0.618549,0.57266633,-0.30376034,0.623533,0.57297031,-0.35040719,0.588787,0.56082599,-0.31796316,0.596821,0.55374493,-0.29904271,0.601508,0.54868833,-0.28553033,0.604856,0.57559509,-0.34106467,0.577105,0.57995853,-0.30579593,0.582745,0.56616191,-0.30450361,0.58563,0.56270396,-0.32057573,0.588253,0.57927857,-0.33389983,0.561658,0.57582906,-0.30975715,0.569337,0.56647327,-0.30467257,0.572865,0.55985448,-0.3069389,0.575978
0.57892563,-0.41569373,0.56613,0.57599002,-0.38267268,0.577563,0.57538558,-0.41723578,0.580196,0.56974812,-0.40939451,0.598069,0.55059102,-0.39515734,0.602175,0.55033511,-0.39030348,0.613297,0.57013199,-0.363302,0.602184,0.57176574,-0.33277448,0.613376,0.57252742,-0.31728129,0.618972,0.57318834,-0.3030663,0.624059,0.57313888,-0.34967255,0.589097,0.56067903,-0.31709237,0.596855,0.55341987,-0.29810478,0.60138,0.55109332,-0.28603149,0.60776,0.57658965,-0.33973104,0.577614,0.58099637,-0.30438744,0.583199,0.56664337,-0.3031797,0.586057,0.56312903,-0.31921961,0.588655,0.57983608,-0.33349191,0.562427,0.57637503,-0.30850702,0.569827,0.56688052,-0.30334375,0.573226,0.56012813,-0.30553656,0.576226
0.57727815,-0.41406656,0.564665,0.5757552,-0.38204245,0.577442,0.57420903,-0.41589691,0.579124,0.56921094,-0.40836707,0.597577,0.55081812,-0.39470311,0.602597,0.55131319,-0.39019629,0.614379,0.57126323,-0.36348429,0.603431,0.5724223,-0.33259284,0.614094,0.5729534,-0.31694323,0.619426,0.57340728,-0.30259985,0.624272,0.57425947,-0.34985268,0.590331,0.56301652,-0.31793982,0.599458,0.55642652,-0.29926426,0.604783,0.55170368,-0.28589736,0.608585,0.57752734,-0.34007702,0.578753,0.58308025,-0.3053839,0.585648,0.56968108,-0.3042754,0.589175,0.566708,-0.32071314,0.592382,0.58057911,-0.33348101,0.563285,0.57835214,-0.30904966,0.571765,0.56930536,-0.30412395,0.575661,0.56293077,-0.3065461,0.579098
0.57852075,-0.41494065,0.566242,0.57722852,-0.38285802,0.579085,0.57725242,-0.41781807,0.582194,0.5700114,-0.40885572,0.598566,0.55526453,-0.39629282,0.608514,0.55768251,-0.39130952,0.622478,0.57502318,-0.36538535,0.606927,0.57371926,-0.3333702,0.615592,0.57311471,-0.31728575,0.620009,0.57256633,-0.30260145,0.624046,0.57597767,-0.3506426,0.592042,0.56482089,-0.31951409,0.602087,0.55173715,-0.3037228,0.607947,0.54433419,-0.29201576,0.612282,0.57691241,-0.34049771,0.578991,0.56209207,-0.31302982,0.58894,0.55497225,-0.32867869,0.594031,0.56787208,-0.35228839,0.602512,0.57795072,-0.33177182,0.561749,0.58194443,-0.31076512,0.575509,0.57520997,-0.30658602,0.581831,0.57039327,-0.30994999,0.58741
0.58193778,-0.41751503,0.570032,0.57601592,-0.38197682,0.578075,0.57805241,-0.41829777,0.583178,0.56582021,-0.4057923,0.594401,0.54900453,-0.39182203,0.602069,0.55051794,-0.38598159,0.615081,0.56813497,-0.36060634,0.59933,0.57114924,-0.33175632,0.612818,0.5725664,-0.31698812,0.619563,0.5738024,-0.30336688,0.625694,0.5703328,-0.34697786,0.586189,0.55365559,-0.31343745,0.590575,0.53881963,-0.29587619,0.593134,0.53404901,-0.28560639,0.599976,0.57263294,-0.33788085,0.574874,0.55661906,-0.30950613,0.582823,0.54819656,-0.32385151,0.586889,0.56599423,-0.35102369,0.601643,0.575975,-0.33078082,0.56031,0.57656353,-0.30770175,0.570176,0.56808548,-0.30266788,0.574708,0.56195677,-0.30571309,0.578708
0.58185149,-0.4177263,0.570394,0.57543457,-0.38170608,0.577805,0.57752764,-0.41803477,0.58292,0.5642278,-0.40483503,0.593085,0.54242399,-0.38774137,0.596496,0.54192407,-0.37960732,0.608132,0.56678757,-0.35962732,0.59789,0.5701214,-0.3312349,0.611975,0.57168587,-0.31666322,0.619017,0.5730513,-0.30320375,0.62542,0.56928553,-0.34632903,0.585282,0.54977808,-0.31305471,0.588816,0.53621419,-0.29464705,0.590878,0.53229558,-0.28482967,0.598652,0.57163788,-0.33709803,0.574445,0.55313048,-0.31014784,0.581445,0.54490938,-0.32520919,0.585026,0.56350968,-0.35133093,0.599842,0.57481248,-0.33008807,0.560532,0.57615381,-0.30750582,0.570027,0.56754168,-0.30208873,0.57439,0.56102485,-0.30480622,0.57824
0.58109535,-0.4173966,0.56993,0.57471626,-0.38136009,0.577307,0.57619127,-0.41722149,0.581752,0.56181616,-0.40328608,0.590788,0.5329542,-0.38181274,0.587285,0.52950026,-0.37124505,0.596152,0.56544474,-0.35881641,0.596519,0.56914123,-0.33087252,0.611211,0.56989018,-0.31714272,0.618558,0.57010042,-0.3039856,0.625236,0.56861377,-0.34599368,0.584751,0.54846792,-0.31265719,0.587912,0.5347995,-0.29418162,0.589756,0.53108449,-0.28447813,0.597759,0.5715469,-0.33718665,0.574606,0.55210625,-0.31033271,0.580991,0.54373474,-0.3253072,0.584258,0.56273345,-0.35173432,0.599334,0.57587891,-0.33112282,0.561528,0.57598427,-0.30747207,0.570059,0.56695431,-0.3016096,0.573978,0.55990883,-0.30393094,0.577437
