Wrist_x,Wrist_y,Wrist_z,Palm_x,Palm_y,Palm_z,thumb_base_x,thumb_base_y,thumb_base_z,thumb_first_joint_x,thumb_first_joint_y,thumb_first_joint_z,thumb_second_joint_x,thumb_second_joint_y,thumb_second_joint_z,thumb_tip_x,thumb_tip_y,thumb_tip_z,index_base_x,index_base_y,index_base_z,index_first_joint_x,index_first_joint_y,index_first_joint_z,index_second_joint_x,index_second_joint_y,index_second_joint_z,index_tip_x,index_tip_y,index_tip_z,middle_base_x,middle_base_y,middle_base_z,middle_first_joint_x,middle_first_joint_y,middle_first_joint_z,middle_second_joint_x,middle_second_joint_y,middle_second_joint_z,middle_tip_x,middle_tip_y,middle_tip_z,ring_base_x,ring_base_y,ring_base_z,ring_first_joint_x,ring_first_joint_y,ring_first_joint_z,ring_second_joint_x,ring_second_joint_y,ring_second_joint_z,ring_tip_x,ring_tip_y,ring_tip_z,pinky_base_x,pinky_base_y,pinky_base_z,pinky_first_joint_x,pinky_first_joint_y,pinky_first_joint_z,pinky_second_joint_x,pinky_second_joint_y,pinky_second_joint_z,pinky_tip_x,pinky_tip_y,pinky_tip_z
0.49385333,-0.4563312,0.578923,0.46377931,-0.39528125,0.550629,0.46199223,-0.43821485,0.565712,0.41940848,-0.41134065,0.538625,0.38390036,-0.38901905,0.514233,0.36212454,-0.36676918,0.499235,0.41109762,-0.32592863,0.512956,0.39781981,-0.28153316,0.501565,0.39459719,-0.28122484,0.49587,0.40578821,-0.29117551,0.508299,0.43896533,-0.33097188,0.518747,0.41564479,-0.32148885,0.483027,0.42635248,-0.35708124,0.499473,0.43805157,-0.37150659,0.517556,0.4637619,-0.33899362,0.52545,0.44122486,-0.32466025,0.490455,0.42354928,-0.33338841,0.472551,0.42120933,-0.33850811,0.474344,0.49705022,-0.35633791,0.53727,0.46324443,-0.35893085,0.506293,0.46607271,-0.38120363,0.516335,0.47447599,-0.40176762,0.531132
0.49193829,-0.45378726,0.578264,0.46354768,-0.38491153,0.550354,0.45462753,-0.42627721,0.565006,0.41882136,-0.4004146,0.537871,0.38300226,-0.37779249,0.51303,0.36130706,-0.35570817,0.498108,0.41106797,-0.3161416,0.512919,0.39776508,-0.2718405,0.501496,0.39452875,-0.27125574,0.495784,0.40571876,-0.28057858,0.508212,0.43909988,-0.32121476,0.518906,0.41605697,-0.31179401,0.483506,0.42690903,-0.3473238,0.500125,0.43855179,-0.36170933,0.518147,0.4640205,-0.32922674,0.525743,0.44169446,-0.31489559,0.490977,0.42412202,-0.32415296,0.47319,0.4219286,-0.32971078,0.475154,0.49742398,-0.3464969,0.537674,0.46379616,-0.34926421,0.506896,0.46672172,-0.3715167,0.517054,0.47509507,-0.3919683,0.531825
0.4806237,-0.44192807,0.572749,0.46300553,-0.38132144,0.54992,0.45197767,-0.42056334,0.561784,0.41781615,-0.39804769,0.537364,0.38136267,-0.37559021,0.511122,0.35910139,-0.35352713,0.495305,0.41522235,-0.31025011,0.519153,0.40706117,-0.27012032,0.515514,0.40567111,-0.2695474,0.513694,0.41739433,-0.27768836,0.528479,0.44243308,-0.31526877,0.524197,0.41823082,-0.31566464,0.493405,0.43128784,-0.35080006,0.513048,0.4438819,-0.36394328,0.530351,0.46649094,-0.32317797,0.529911,0.44432264,-0.3084071,0.499661,0.43138693,-0.32049687,0.484185,0.43451012,-0.33572847,0.489343,0.49849833,-0.34025096,0.539814,0.46687892,-0.33956224,0.51269,0.4740014,-0.3629916,0.524907,0.48464368,-0.38294358,0.53919
0.47478414,-0.43467118,0.565477,0.45910842,-0.37336058,0.544918,0.44633018,-0.40957376,0.554556,0.41649463,-0.38809986,0.530332,0.38157224,-0.36391507,0.503986,0.36045837,-0.34093703,0.488223,0.413175,-0.3066876,0.51594,0.40712394,-0.26814029,0.514821,0.40681385,-0.26762208,0.514261,0.41910696,-0.2753931,0.529632,0.44092531,-0.31221476,0.521752,0.41925311,-0.30996157,0.492989,0.43220366,-0.34871119,0.513397,0.44576756,-0.36469602,0.530208,0.46533991,-0.32045823,0.527942,0.44533532,-0.29871161,0.499301,0.43333718,-0.31166763,0.484647,0.43648806,-0.32968279,0.490719,0.49755283,-0.33777576,0.538112,0.46733444,-0.33705159,0.512382,0.47491619,-0.36105843,0.52512,0.48526688,-0.38115904,0.539115
0.47256438,-0.42700663,0.561436,0.45835503,-0.36718224,0.540944,0.44483861,-0.40543765,0.551479,0.41661152,-0.37983853,0.528348,0.38039687,-0.35393464,0.503131,0.35937497,-0.33050829,0.488397,0.41623436,-0.29817701,0.513189,0.40848402,-0.26385422,0.514225,0.40928766,-0.26008039,0.514744,0.42091931,-0.26972836,0.530666,0.44305613,-0.30354565,0.517855,0.41942599,-0.29653037,0.489258,0.43332471,-0.33449427,0.51001,0.44593019,-0.35111732,0.526868,0.46666855,-0.31167194,0.523097,0.44728251,-0.29052986,0.49498,0.42848075,-0.30296187,0.480594,0.42969086,-0.31662047,0.487047,0.49787983,-0.32889315,0.532124,0.46614526,-0.32590196,0.506749,0.47388295,-0.35017027,0.519731,0.48275726,-0.37313327,0.533695
0.47065014,-0.42303575,0.558193,0.4584546,-0.36082321,0.537253,0.4436883,-0.39940297,0.548426,0.41459667,-0.37613646,0.525485,0.37816966,-0.35034417,0.500168,0.35713901,-0.32693352,0.485324,0.41477852,-0.29389785,0.509386,0.41004118,-0.25384084,0.509149,0.40674241,-0.25488486,0.50903,0.41823963,-0.26125142,0.524672,0.44125679,-0.29934473,0.513658,0.41663981,-0.2927443,0.484684,0.43017546,-0.33037649,0.505343,0.44298951,-0.34673952,0.522307,0.46456606,-0.30754681,0.518607,0.44457328,-0.28697994,0.490273,0.42525674,-0.29925907,0.475776,0.42638331,-0.31251115,0.482117,0.4953733,-0.32487569,0.527342,0.4628306,-0.32208349,0.50176,0.47032476,-0.34609483,0.51468,0.48087272,-0.36636394,0.528693
0.46485725,-0.40972308,0.547317,0.45415959,-0.34350742,0.524759,0.43939871,-0.38515232,0.537967,0.41043441,-0.36031121,0.515428,0.3729975,-0.33512065,0.490651,0.35127628,-0.31178386,0.475701,0.4095925,-0.27647684,0.49616,0.40320555,-0.23906828,0.496135,0.40123634,-0.23752878,0.496123,0.41192162,-0.24347697,0.511782,0.43521281,-0.28133659,0.499341,0.40728032,-0.27181364,0.469002,0.42068557,-0.30911549,0.489158,0.43463965,-0.32648205,0.506459,0.45794762,-0.28909713,0.503503,0.43475184,-0.26849844,0.474274,0.41462597,-0.28068285,0.45932,0.41607917,-0.29340726,0.465111,0.48833001,-0.30599422,0.511513,0.45287937,-0.30303729,0.485116,0.46035015,-0.32653013,0.497702,0.47160516,-0.34661071,0.511872
0.46109913,-0.3957426,0.538534,0.44883758,-0.3358994,0.517736,0.43621324,-0.36959445,0.529139,0.40660654,-0.34907771,0.506637,0.37389119,-0.32811207,0.479745,0.35375931,-0.30622597,0.462608,0.40820344,-0.26657034,0.490428,0.40064821,-0.23051559,0.491975,0.39926977,-0.22929586,0.492748,0.40985848,-0.23861389,0.508771,0.4342657,-0.27258636,0.494301,0.40814006,-0.26241912,0.465504,0.42102999,-0.29997654,0.486303,0.43455951,-0.31524063,0.503248,0.45717789,-0.28122349,0.498912,0.43325337,-0.26467595,0.47087,0.41369482,-0.27723703,0.456522,0.4157406,-0.29046596,0.463037,0.48577964,-0.30122773,0.507223,0.45463492,-0.29404342,0.481858,0.46245545,-0.31852652,0.494878,0.47113165,-0.34186061,0.508853
0.46723497,-0.39271705,0.54297,0.44915963,-0.33075963,0.516693,0.43720511,-0.36770875,0.529795,0.41354298,-0.34430661,0.502782,0.38228655,-0.31914898,0.475335,0.36442222,-0.2965481,0.459373,0.40021942,-0.26067111,0.480608,0.39149134,-0.22123936,0.477297,0.38767479,-0.20469718,0.475641,0.39737524,-0.19557091,0.490511,0.42827202,-0.26796515,0.487085,0.40657356,-0.2397664,0.453084,0.41850535,-0.27545847,0.470494,0.42997262,-0.29708446,0.488257,0.45333298,-0.2775735,0.494214,0.43250473,-0.25930374,0.460567,0.41080405,-0.27010338,0.443352,0.40420962,-0.28004246,0.446124,0.48685688,-0.29685202,0.506275,0.46416889,-0.28585811,0.476447,0.46021584,-0.30359521,0.487136,0.46567808,-0.31453414,0.501778
0.465202,-0.3895109,0.539898,0.44630675,-0.328163,0.513205,0.43508449,-0.36487724,0.526722,0.41089275,-0.34199048,0.499696,0.37946523,-0.31632131,0.472456,0.36152611,-0.29356967,0.456762,0.39606922,-0.25843521,0.476799,0.38804957,-0.21982254,0.474076,0.38433516,-0.20222001,0.472714,0.39400595,-0.19207113,0.487731,0.42431223,-0.26465951,0.483127,0.40146181,-0.23569599,0.448768,0.41367218,-0.27101699,0.465994,0.42552878,-0.29311636,0.48383,0.4494441,-0.27358623,0.490163,0.42765386,-0.25496704,0.456236,0.40617892,-0.26564928,0.438878,0.40192256,-0.27774422,0.441458,0.48307955,-0.29194402,0.502167,0.45963498,-0.28147697,0.472099,0.45584044,-0.29934807,0.482665,0.46147273,-0.31077092,0.497344
