Wrist_x,Wrist_y,Wrist_z,Palm_x,Palm_y,Palm_z,thumb_base_x,thumb_base_y,thumb_base_z,thumb_first_joint_x,thumb_first_joint_y,thumb_first_joint_z,thumb_second_joint_x,thumb_second_joint_y,thumb_second_joint_z,thumb_tip_x,thumb_tip_y,thumb_tip_z,index_base_x,index_base_y,index_base_z,index_first_joint_x,index_first_joint_y,index_first_joint_z,index_second_joint_x,index_second_joint_y,index_second_joint_z,index_tip_x,index_tip_y,index_tip_z,middle_base_x,middle_base_y,middle_base_z,middle_first_joint_x,middle_first_joint_y,middle_first_joint_z,middle_second_joint_x,middle_second_joint_y,middle_second_joint_z,middle_tip_x,middle_tip_y,middle_tip_z,ring_base_x,ring_base_y,ring_base_z,ring_first_joint_x,ring_first_joint_y,ring_first_joint_z,ring_second_joint_x,ring_second_joint_y,ring_second_joint_z,ring_tip_x,ring_tip_y,ring_tip_z,pinky_base_x,pinky_base_y,pinky_base_z,pinky_first_joint_x,pinky_first_joint_y,pinky_first_joint_z,pinky_second_joint_x,pinky_second_joint_y,pinky_second_joint_z,pinky_tip_x,pinky_tip_y,pinky_tip_z,r
0.67151208,-0.45489301,0.647211,0.66349485,-0.40950427,0.640927,0.64994653,-0.44317466,0.646043,0.61136038,-0.43243618,0.642604,0.57649089,-0.42142148,0.636551,0.56181183,-0.411634,0.637939,0.63110986,-0.36215576,0.63491,0.60645152,-0.32066221,0.623181,0.59490461,-0.30118338,0.617316,0.58857256,-0.28522622,0.611985,0.65395346,-0.36087094,0.634246,0.64215547,-0.3136403,0.621512,0.6352235,-0.28637783,0.614084,0.63134749,-0.26762217,0.608779,0.67436876,-0.36358751,0.634195,0.67324444,-0.31909529,0.624627,0.67365409,-0.29731138,0.619732,0.67464238,-0.27821321,0.615282,0.69999347,-0.37528214,0.635066,0.70912657,-0.34006013,0.627507,0.71570384,-0.32692393,0.624034,0.7228469,-0.31908395,0.620969,
0.66915764,-0.45368173,0.644994,0.66175806,-0.40859745,0.63934,0.64796901,-0.4421299,0.6442,0.60997652,-0.43227076,0.641668,0.57396186,-0.42147277,0.635249,0.56108248,-0.41213292,0.638095,0.63027816,-0.36163837,0.634245,0.60661406,-0.32076543,0.623228,0.59587806,-0.30088316,0.617719,0.58744158,-0.28418968,0.612711,0.65389829,-0.36084312,0.633329,0.64085911,-0.31306512,0.620345,0.63380407,-0.28573622,0.612771,0.62922308,-0.26681036,0.607361,0.67369301,-0.36351318,0.633022,0.67196142,-0.31790264,0.623061,0.67167562,-0.29637438,0.617965,0.67263514,-0.2775393,0.613332,0.6981897,-0.37451749,0.633494,0.70924692,-0.3406512,0.626137,0.71498979,-0.32721941,0.622757,0.72175284,-0.31853813,0.619774,
0.66720978,-0.45205094,0.642396,0.65753033,-0.40553082,0.634986,0.64501026,-0.43996539,0.640736,0.60550867,-0.43033475,0.636787,0.57518551,-0.42106826,0.633767,0.56068896,-0.41213638,0.637674,0.62312792,-0.35773738,0.627543,0.59969175,-0.31708228,0.614731,0.58785549,-0.29675238,0.608326,0.58091556,-0.28065598,0.606034,0.64724079,-0.3571856,0.627111,0.63379555,-0.30920249,0.613844,0.6266488,-0.28184201,0.606105,0.6276771,-0.26562642,0.605987,0.66785424,-0.36037129,0.62734,0.66782114,-0.31423932,0.619039,0.66843678,-0.2924943,0.614791,0.67004737,-0.27577759,0.61093,0.69386044,-0.37100843,0.628711,0.70361142,-0.33592163,0.620893,0.71261717,-0.32628825,0.617302,0.71568947,-0.31628738,0.614132,
0.66489228,-0.45078486,0.639828,0.65311956,-0.40463396,0.630775,0.64212466,-0.43846814,0.637722,0.60221101,-0.42920351,0.633067,0.56504016,-0.41692738,0.623738,0.54891495,-0.40765707,0.625914,0.6163288,-0.35579783,0.621592,0.59297366,-0.31424757,0.607275,0.58129836,-0.29348236,0.600116,0.57690318,-0.27867143,0.597744,0.6405396,-0.35461617,0.621161,0.62860845,-0.30678065,0.607413,0.62164705,-0.27889754,0.599393,0.61989942,-0.26196804,0.597791,0.66159958,-0.35761732,0.621521,0.66377539,-0.31299234,0.615646,0.66586794,-0.29141968,0.61264,0.66898775,-0.27528239,0.609908,0.68831029,-0.36827689,0.623288,0.69874175,-0.3341036,0.614802,0.70559456,-0.32415168,0.610903,0.71191124,-0.31518352,0.607463,
0.65922969,-0.4480862,0.634911,0.6428767,-0.40313267,0.622598,0.63291699,-0.43468395,0.629963,0.58811987,-0.42869251,0.621673,0.54872076,-0.41341274,0.612392,0.53630917,-0.40327727,0.615718,0.60586105,-0.35014705,0.60753,0.58788689,-0.31120252,0.601087,0.57956493,-0.29182276,0.597866,0.57349739,-0.27541346,0.595336,0.62914514,-0.35096186,0.609529,0.62084092,-0.30469471,0.598512,0.61637698,-0.27780618,0.592086,0.61319771,-0.25850135,0.587496,0.65140247,-0.35585948,0.612149,0.64874418,-0.31161998,0.598387,0.64905015,-0.28994268,0.591346,0.6494052,-0.27006142,0.584945,0.6796494,-0.37222818,0.617088,0.69279978,-0.3401837,0.607489,0.69810844,-0.3239138,0.603079,0.70403317,-0.31340357,0.599187,
0.65403451,-0.44488422,0.628917,0.63834414,-0.39958666,0.615767,0.63059554,-0.43448307,0.626557,0.59400375,-0.42483171,0.620144,0.55199629,-0.40769981,0.602726,0.53137389,-0.39435665,0.598742,0.60216556,-0.34896747,0.603301,0.57629872,-0.30854561,0.58705,0.56355343,-0.28797341,0.579372,0.55199232,-0.26929013,0.572416,0.62451741,-0.34821947,0.601817,0.61382143,-0.30136056,0.589696,0.60795576,-0.274207,0.582626,0.60450684,-0.25572797,0.577575,0.64628409,-0.3508753,0.601635,0.64428125,-0.3072553,0.592701,0.6464126,-0.28620446,0.58813,0.64844663,-0.26681518,0.583975,0.67304231,-0.36108067,0.603367,0.67771343,-0.32372158,0.590407,0.68064838,-0.31775696,0.584452,0.68350837,-0.31241973,0.579198,
0.64662661,-0.44226668,0.62163,0.63269227,-0.39506349,0.605243,0.62341081,-0.43087365,0.617433,0.58328028,-0.41857826,0.608749,0.54236512,-0.40562327,0.591656,0.52506774,-0.39282299,0.591603,0.58708472,-0.34389724,0.588154,0.55860847,-0.30311442,0.56972,0.54437228,-0.2827312,0.560502,0.53143312,-0.26420691,0.552123,0.61117219,-0.34174267,0.587859,0.59426782,-0.29327747,0.570373,0.58440478,-0.26507592,0.560173,0.57907589,-0.24731481,0.552887,0.63260067,-0.34393579,0.58891,0.6278548,-0.29737769,0.576275,0.62708468,-0.2752102,0.56981,0.62644128,-0.25489259,0.563934,0.66120613,-0.3540061,0.592588,0.66448314,-0.31579579,0.578894,0.6676178,-0.31073333,0.572602,0.6699132,-0.30604288,0.567051,
0.63178229,-0.43580157,0.605108,0.62060261,-0.39161532,0.589668,0.61072854,-0.42475779,0.599926,0.56851459,-0.41550928,0.590107,0.52549128,-0.3988574,0.574187,0.50362358,-0.38526537,0.569524,0.57735194,-0.33769556,0.572049,0.54823915,-0.29582685,0.558339,0.53857939,-0.27841684,0.551484,0.53716097,-0.26716254,0.545253,0.60205265,-0.33737906,0.573287,0.59481921,-0.28996662,0.562111,0.59113828,-0.26265332,0.555591,0.58981343,-0.24397175,0.550935,0.62368232,-0.34110081,0.575526,0.61785055,-0.29401478,0.559195,0.61691916,-0.27217132,0.550839,0.61760068,-0.25460319,0.543244,0.64983631,-0.34985895,0.580475,0.66477955,-0.32038649,0.569392,0.67264766,-0.31057987,0.5643,0.67987022,-0.30178616,0.559807,
0.6248515,-0.43368512,0.594374,0.60887261,-0.38821662,0.579639,0.60113259,-0.42312337,0.590202,0.55754444,-0.41014855,0.579928,0.51514874,-0.39271182,0.561675,0.49280434,-0.3765682,0.55482,0.5672771,-0.33871908,0.56378,0.5448863,-0.29506906,0.546336,0.53463007,-0.27406435,0.537614,0.52628514,-0.25859722,0.532455,0.5904879,-0.33780388,0.564007,0.57972397,-0.28865292,0.548979,0.57735562,-0.26352933,0.540213,0.57683541,-0.2468654,0.533952,0.61066987,-0.34099449,0.565358,0.60823153,-0.29565291,0.551692,0.60934669,-0.27477892,0.544701,0.61203038,-0.2551757,0.538345,0.63694294,-0.3521367,0.569146,0.64884826,-0.32148709,0.556775,0.6554957,-0.31165882,0.551091,0.66163716,-0.30284986,0.546075,
0.6078464,-0.42617413,0.572419,0.60297205,-0.37958039,0.558318,0.58450474,-0.41334021,0.568625,0.55226631,-0.40262023,0.560526,0.50747867,-0.38329432,0.541792,0.48728953,-0.36993203,0.538376,0.56103386,-0.32636179,0.543396,0.53308099,-0.28340117,0.52616,0.52155805,-0.26485327,0.517542,0.51220991,-0.24947594,0.509708,0.58543704,-0.32592036,0.54337,0.57157614,-0.27772859,0.525579,0.56348882,-0.24963017,0.515201,0.55908308,-0.23144371,0.507788,0.60683974,-0.32950219,0.544462,0.60430846,-0.28332147,0.531142,0.6029618,-0.25985338,0.524327,0.60535712,-0.24638824,0.518132,0.63488285,-0.34120571,0.54785,0.63941262,-0.30396267,0.534985,0.64035211,-0.30366665,0.529074,0.64143897,-0.30350424,0.523859,
