n=8
;sideways;scissors;rock_out;love;knock_x3;index_2_circles;fist_2_circles;explode
sideways;1951;0;0;0;0;0;49;0
scissors;3;969;232;133;72;322;0;269
rock_out;0;0;1383;387;12;121;0;97
love;9;0;244;1572;25;38;41;71
knock_x3;30;0;0;0;1753;95;122;0
index_2_circles;102;0;0;32;0;1866;0;0
fist_2_circles;0;0;0;0;0;0;2000;0
explode;21;0;34;64;14;105;0;1762

n=16
;sideways;scissors;rock_out;love;knock_x3;index_2_circles;fist_2_circles;explode
sideways;2000;0;0;0;0;0;0;0
scissors;0;1713;100;26;0;92;0;69
rock_out;0;9;1524;377;0;0;0;90
love;0;0;220;1612;50;13;0;105
knock_x3;0;0;0;0;2000;0;0;0
index_2_circles;0;0;0;0;0;2000;0;0
fist_2_circles;0;0;0;0;0;0;2000;0
explode;12;0;51;15;0;115;0;1807

n=32
;sideways;scissors;rock_out;love;knock_x3;index_2_circles;fist_2_circles;explode
sideways;2000;0;0;0;0;0;0;0
scissors;0;1905;47;40;0;0;0;8
rock_out;0;22;1665;270;0;0;0;43
love;0;17;175;1695;56;5;0;52
knock_x3;0;0;0;0;2000;0;0;0
index_2_circles;0;0;0;0;0;2000;0;0
fist_2_circles;0;0;0;0;0;0;2000;0
explode;0;40;60;0;0;86;0;1814

UI, maxP=1..5, n=8
;sideways;scissors;rock_out;love;knock_x3;index_2_circles;fist_2_circles;explode
sideways;8363;0;0;0;138;58;1441;0
scissors;187;1676;1797;1327;783;2557;0;1673
rock_out;147;14;3762;2277;1067;1609;77;1047
love;214;31;1762;4496;1145;1490;172;690
knock_x3;164;0;49;67;7459;339;1920;2
index_2_circles;194;31;221;249;278;7514;1397;116
fist_2_circles;0;0;0;0;0;0;10000;0
explode;233;7;432;507;569;753;412;7087
