n=8
;sideways;scissors;rock_out;love;knock_x3;index_2_circles;fist_2_circles;explode
sideways;2000;0;0;0;0;0;0;0
scissors;0;2000;0;0;0;0;0;0
rock_out;0;0;1974;26;0;0;0;0
love;0;0;0;2000;0;0;0;0
knock_x3;0;0;0;0;1950;50;0;0
index_2_circles;0;0;0;0;0;2000;0;0
fist_2_circles;0;0;0;0;0;0;2000;0
explode;0;0;0;0;0;0;0;2000

UI, maxP=1..5, n=8
;sideways;scissors;rock_out;love;knock_x3;index_2_circles;fist_2_circles;explode
sideways;9861;0;0;9;105;22;3;0
scissors;0;9772;53;6;0;139;15;15
rock_out;37;161;8654;573;0;519;47;9
love;6;20;1068;8267;0;522;97;20
knock_x3;502;16;197;190;8697;280;117;1
index_2_circles;0;136;224;107;0;9511;22;0
fist_2_circles;44;0;7;9;15;19;9883;23
explode;1;450;44;85;0;29;255;9136
